name,train_val_test,character
Anim_00001,0,nan
Anim_00002,1,nan
Anim_00003,0,nan
Anim_00004,0,nan
Anim_00005,0,nan
Anim_00006,0,nan
Anim_00007,0,nan
Anim_00008,1,nan
Anim_00009,0,nan
Anim_00010,0,nan
Anim_00011,0,nan
Anim_00012,0,nan
Anim_00013,0,nan
Anim_00014,0,nan
Anim_00015,0,nan
Anim_00016,0,nan
Anim_00017,0,nan
Anim_00018,0,nan
Anim_00019,0,nan
Anim_00020,0,nan
Anim_00021,0,nan
Anim_00022,0,nan
Anim_00023,0,nan
Anim_00024,0,nan
Anim_00025,0,nan
Anim_00026,0,nan
Anim_00027,0,nan
Anim_00028,1,nan
Anim_00029,1,nan
Anim_00030,0,nan
Anim_00031,0,nan
Anim_00032,1,nan
Anim_00033,0,nan
Anim_00034,0,nan
Anim_00035,0,nan
Anim_00036,1,nan
Anim_00037,0,nan
Anim_00038,0,nan
Anim_00039,0,nan
Anim_00040,0,nan
Anim_00041,0,nan
Anim_00042,0,nan
Anim_00043,0,nan
Anim_00044,0,nan
Anim_00045,0,nan
Anim_00046,1,nan
Anim_00047,1,nan
Anim_00048,0,nan
Anim_00049,0,nan
Anim_00050,1,nan
Anim_00051,0,nan
Anim_00052,0,nan
Anim_00053,0,nan
Anim_00054,0,nan
Anim_00055,0,nan
Anim_00056,0,nan
Anim_00057,0,nan
Anim_00058,0,nan
Anim_00059,0,nan
Anim_00060,0,nan
Anim_00061,0,nan
Anim_00062,0,nan
Anim_00063,0,nan
Anim_00064,0,nan
Anim_00065,1,nan
Anim_00066,1,nan
Anim_00067,0,nan
Anim_00068,0,nan
Anim_00069,0,nan
Anim_00070,0,nan
Anim_00071,1,nan
Anim_00072,0,nan
Anim_00073,0,nan
Anim_00074,0,nan
Anim_00075,0,nan
Anim_00076,0,nan
Anim_00077,0,nan
Anim_00078,0,nan
Anim_00079,0,nan
Anim_00080,0,nan
Anim_00081,0,nan
Anim_00082,0,nan
Anim_00083,0,nan
Anim_00084,0,nan
Anim_00085,1,nan
Anim_00086,1,nan
Anim_00087,0,nan
Anim_00088,0,nan
Anim_00089,0,nan
Anim_00090,0,nan
Anim_00091,0,nan
Anim_00092,0,nan
Anim_00093,0,nan
Anim_00094,0,nan
Anim_00095,0,nan
Anim_00096,0,nan
Anim_00097,0,nan
Anim_00098,1,nan
Anim_00099,0,nan
Anim_00100,0,nan
Anim_00101,0,nan
Anim_00102,1,nan
Anim_00103,1,nan
Anim_00104,0,nan
Anim_00105,0,nan
Anim_00106,0,nan
Anim_00107,0,nan
Anim_00108,0,nan
Anim_00109,0,nan
Anim_00110,1,nan
Anim_00111,1,nan
Anim_00112,0,nan
Anim_00113,0,nan
Anim_00114,0,nan
Anim_00115,0,nan
Anim_00116,0,nan
Anim_00117,0,nan
Anim_00118,0,nan
Anim_00119,0,nan
Anim_00120,0,nan
Anim_00121,0,nan
Anim_00122,1,nan
Anim_00123,0,nan
Anim_00124,1,nan
Anim_00125,1,nan
Anim_00126,1,nan
Anim_00127,0,nan
Anim_00128,0,nan
Anim_00129,0,nan
Anim_00130,0,nan
Anim_00131,0,nan
Anim_00132,0,nan
Anim_00133,0,nan
Anim_00134,0,nan
Anim_00135,0,nan
Anim_00136,1,nan
Anim_00137,0,nan
Anim_00138,0,nan
Anim_00139,0,nan
Anim_00140,0,nan
Anim_00141,0,nan
Anim_00142,0,nan
Anim_00143,0,nan
Anim_00144,0,nan
Anim_00145,0,nan
Anim_00146,1,nan
Anim_00147,0,nan
Anim_00148,0,nan
Anim_00149,0,nan
Anim_00150,0,nan
Anim_00151,0,nan
Anim_00152,0,nan
Anim_00153,0,nan
Anim_00154,0,nan
Anim_00155,0,nan
Anim_00156,0,nan
Anim_00157,0,nan
Anim_00158,1,nan
Anim_00159,0,nan
Anim_00160,0,nan
Anim_00161,1,nan
Anim_00162,0,nan
Anim_00163,0,nan
Anim_00164,0,nan
Anim_00165,1,nan
Anim_00166,1,nan
Anim_00167,0,nan
Anim_00168,0,nan
Anim_00169,1,nan
Anim_00170,0,nan
Anim_00171,1,nan
Anim_00172,0,nan
Anim_00173,1,nan
Anim_00174,0,nan
Anim_00175,0,nan
Anim_00176,1,nan
Anim_00177,0,nan
Anim_00178,0,nan
Anim_00179,0,nan
Anim_00180,0,nan
Anim_00181,0,nan
Anim_00182,0,nan
Anim_00183,1,nan
Anim_00184,0,nan
Anim_00185,0,nan
Anim_00186,1,nan
Anim_00187,1,nan
Anim_00188,0,nan
Anim_00189,0,nan
Anim_00190,1,nan
Anim_00191,0,nan
Anim_00192,0,nan
Anim_00193,0,nan
Anim_00194,0,nan
Anim_00195,0,nan
Anim_00196,0,nan
Anim_00197,0,nan
Anim_00198,0,nan
Anim_00199,0,nan
Anim_00200,0,nan
Anim_00201,1,nan
Anim_00202,0,nan
Anim_00203,0,nan
Anim_00204,0,nan
Anim_00205,0,nan
Anim_00206,0,nan
Anim_00207,0,nan
Anim_00208,0,nan
Anim_00209,0,nan
Anim_00210,0,nan
Anim_00211,0,nan
Anim_00212,0,nan
Anim_00213,0,nan
Anim_00214,0,nan
Anim_00215,1,nan
Anim_00216,0,nan
Anim_00217,0,nan
Anim_00218,0,nan
Anim_00219,0,nan
Anim_00220,0,nan
Anim_00221,0,nan
Anim_00222,1,nan
Anim_00223,0,nan
Anim_00224,0,nan
Anim_00225,0,nan
Anim_00226,0,nan
Anim_00227,0,nan
Anim_00228,0,nan
Anim_00229,0,nan
Anim_00230,0,nan
Anim_00231,1,nan
Anim_00232,1,nan
Anim_00233,0,nan
Anim_00234,0,nan
Anim_00235,0,nan
Anim_00236,0,nan
Anim_00237,0,nan
Anim_00238,0,nan
Anim_00239,1,nan
Anim_00240,0,nan
Anim_00241,0,nan
Anim_00242,0,nan
Anim_00243,0,nan
Anim_00244,0,nan
Anim_00245,1,nan
Anim_00246,0,nan
Anim_00247,0,nan
Anim_00248,0,nan
Anim_00249,0,nan
Anim_00250,0,nan
Anim_00251,0,nan
Anim_00252,0,nan
Anim_00253,0,nan
Anim_00254,0,nan
Anim_00255,0,nan
Anim_00256,0,nan
Anim_00257,0,nan
Anim_00258,0,nan
Anim_00259,0,nan
Anim_00260,1,nan
Anim_00261,1,nan
Anim_00262,0,nan
Anim_00263,0,nan
Anim_00264,0,nan
Anim_00265,0,nan
Anim_00266,0,nan
Anim_00267,0,nan
Anim_00268,1,nan
Anim_00269,0,nan
Anim_00270,1,nan
Anim_00271,0,nan
Anim_00272,0,nan
Anim_00273,0,nan
Anim_00274,0,nan
Anim_00275,0,nan
Anim_00276,0,nan
Anim_00277,0,nan
Anim_00278,0,nan
Anim_00279,0,nan
Anim_00280,0,nan
Anim_00281,0,nan
Anim_00282,0,nan
Anim_00283,0,nan
Anim_00284,0,nan
Anim_00285,0,nan
Anim_00286,1,nan
Anim_00287,1,nan
Anim_00288,1,nan
Anim_00289,0,nan
Anim_00290,0,nan
Anim_00291,0,nan
Anim_00292,0,nan
Anim_00293,0,nan
Anim_00294,0,nan
Anim_00295,0,nan
Anim_00296,0,nan
Anim_00297,0,nan
Anim_00298,0,nan
Anim_00299,0,nan
Anim_00300,0,nan
Anim_00301,0,nan
Anim_00302,1,nan
Anim_00303,0,nan
Anim_00304,0,nan
Anim_00305,0,nan
Anim_00306,0,nan
Anim_00307,0,nan
Anim_00308,0,nan
Anim_00309,0,nan
Anim_00310,0,nan
Anim_00311,0,nan
Anim_00312,0,nan
Anim_00313,0,nan
Anim_00314,0,nan
Anim_00315,0,nan
Anim_00316,0,nan
Anim_00317,0,nan
Anim_00318,0,nan
Anim_00319,0,nan
Anim_00320,0,nan
Anim_00321,1,nan
Anim_00322,0,nan
Anim_00323,0,nan
Anim_00324,0,nan
Anim_00325,1,nan
Anim_00326,0,nan
Anim_00327,1,nan
Anim_00328,0,nan
Anim_00329,0,nan
Anim_00330,0,nan
Anim_00331,0,nan
Anim_00332,0,nan
Anim_00333,0,nan
Anim_00334,0,nan
Anim_00335,1,nan
Anim_00336,0,nan
Anim_00337,0,nan
Anim_00338,0,nan
Anim_00339,1,nan
Anim_00340,0,nan
Anim_00341,0,nan
Anim_00342,0,nan
Anim_00343,0,nan
Anim_00344,0,nan
Anim_00345,0,nan
Anim_00346,1,nan
Anim_00347,0,nan
Anim_00348,0,nan
Anim_00349,0,nan
Anim_00350,1,nan
Anim_00351,0,nan
Anim_00352,0,nan
Anim_00353,0,nan
Anim_00354,0,nan
Anim_00355,0,nan
Anim_00356,1,nan
Anim_00357,1,nan
Anim_00358,0,nan
Anim_00359,1,nan
Anim_00360,0,nan
Anim_00361,1,nan
Anim_00362,0,nan
Anim_00363,1,nan
Anim_00364,0,nan
Anim_00365,0,nan
Anim_00366,0,nan
Anim_00367,0,nan
Anim_00368,1,nan
Anim_00369,0,nan
Anim_00370,0,nan
Anim_00371,0,nan
Anim_00372,0,nan
Anim_00373,0,nan
Anim_00374,0,nan
Anim_00375,0,nan
Anim_00376,0,nan
Anim_00377,0,nan
Anim_00378,0,nan
Anim_00379,1,nan
Anim_00380,0,nan
Anim_00381,1,nan
Anim_00382,0,nan
Anim_00383,0,nan
Anim_00384,0,nan
Anim_00385,0,nan
Anim_00386,0,nan
Anim_00387,0,nan
Anim_00388,0,nan
Anim_00389,0,nan
Anim_00390,0,nan
Anim_00391,0,nan
Anim_00392,1,nan
Anim_00393,1,nan
Anim_00394,0,nan
Anim_00395,0,nan
Anim_00396,1,nan
Anim_00397,1,nan
Anim_00398,0,nan
Anim_00399,0,nan
Anim_00400,0,nan
Anim_00401,0,nan
Anim_00402,0,nan
Anim_00403,0,nan
Anim_00404,0,nan
Anim_00405,0,nan
Anim_00406,0,nan
Anim_00407,0,nan
Anim_00408,0,nan
Anim_00409,0,nan
Anim_00410,0,nan
Anim_00411,0,nan
Anim_00412,0,nan
Anim_00413,0,nan
Anim_00414,0,nan
Anim_00415,0,nan
Anim_00416,0,nan
Anim_00417,0,nan
Anim_00418,0,nan
Anim_00419,1,nan
Anim_00420,0,nan
Anim_00421,0,nan
Anim_00422,0,nan
Anim_00423,0,nan
Anim_00424,1,nan
Anim_00425,0,nan
Anim_00426,1,nan
Anim_00427,0,nan
Anim_00428,0,nan
Anim_00429,0,nan
Anim_00430,0,nan
Anim_00431,0,nan
Anim_00432,0,nan
Anim_00433,0,nan
Anim_00434,0,nan
Anim_00435,0,nan
Anim_00436,0,nan
Anim_00437,0,nan
Anim_00438,0,nan
Anim_00439,0,nan
Anim_00440,0,nan
Anim_00441,0,nan
Anim_00442,0,nan
Anim_00443,0,nan
Anim_00444,1,nan
Anim_00445,1,nan
Anim_00446,0,nan
Anim_00447,0,nan
Anim_00448,0,nan
Anim_00449,0,nan
Anim_00450,0,nan
Anim_00451,0,nan
Anim_00452,0,nan
Anim_00453,1,nan
Anim_00454,0,nan
Anim_00455,0,nan
Anim_00456,0,nan
Anim_00457,0,nan
Anim_00458,0,nan
Anim_00459,0,nan
Anim_00460,0,nan
Anim_00461,0,nan
Anim_00462,1,nan
Anim_00463,0,nan
Anim_00464,0,nan
Anim_00465,0,nan
Anim_00466,0,nan
Anim_00467,0,nan
Anim_00468,0,nan
Anim_00469,0,nan
Anim_00470,1,nan
Anim_00471,0,nan
Anim_00472,0,nan
Anim_00473,1,nan
Anim_00474,0,nan
Anim_00475,0,nan
Anim_00476,0,nan
Anim_00477,0,nan
Anim_00478,1,nan
Anim_00479,1,nan
Anim_00480,0,nan
Anim_00481,1,nan
Anim_00482,0,nan
Anim_00483,0,nan
Anim_00484,1,nan
Anim_00485,0,nan
Anim_00486,0,nan
Anim_00487,1,nan
Anim_00488,1,nan
Anim_00489,0,nan
Anim_00490,0,nan
Anim_00491,0,nan
Anim_00492,1,nan
Anim_00493,0,nan
Anim_00494,0,nan
Anim_00495,0,nan
Anim_00496,1,nan
Anim_00497,0,nan
Anim_00498,0,nan
Anim_00499,1,nan
Anim_00500,0,nan
Anim_00501,1,nan
Anim_00502,0,nan
Anim_00503,0,nan
Anim_00504,1,nan
Anim_00505,0,nan
Anim_00506,0,nan
Anim_00507,0,nan
Anim_00508,0,nan
Anim_00509,0,nan
Anim_00510,1,nan
Anim_00511,1,nan
Anim_00512,0,nan
Anim_00513,0,nan
Anim_00514,1,nan
Anim_00515,0,nan
Anim_00516,0,nan
Anim_00517,0,nan
Anim_00518,0,nan
Anim_00519,0,nan
Anim_00520,0,nan
Anim_00521,0,nan
Anim_00522,0,nan
Anim_00523,1,nan
Anim_00524,0,nan
Anim_00525,0,nan
Anim_00526,0,nan
Anim_00527,0,nan
Anim_00528,0,nan
Anim_00529,0,nan
Anim_00530,0,nan
Anim_00531,1,nan
Anim_00532,0,nan
Anim_00533,0,nan
Anim_00534,0,nan
Anim_00535,0,nan
Anim_00536,0,nan
Anim_00537,0,nan
Anim_00538,1,nan
Anim_00539,0,nan
Anim_00540,0,nan
Anim_00541,0,nan
Anim_00542,0,nan
Anim_00543,0,nan
Anim_00544,1,nan
Anim_00545,0,nan
Anim_00546,1,nan
Anim_00547,0,nan
Anim_00548,1,nan
Anim_00549,0,nan
Anim_00550,0,nan
Anim_00551,0,nan
Anim_00552,0,nan
Anim_00553,0,nan
Anim_00554,0,nan
Anim_00555,0,nan
Anim_00556,0,nan
Anim_00557,0,nan
Anim_00558,0,nan
Anim_00559,0,nan
Anim_00560,0,nan
Anim_00561,0,nan
Anim_00562,0,nan
Anim_00563,0,nan
Anim_00564,0,nan
Anim_00565,0,nan
Anim_00566,0,nan
Anim_00567,1,nan
Anim_00568,0,nan
Anim_00569,0,nan
Anim_00570,0,nan
Anim_00571,0,nan
Anim_00572,0,nan
Anim_00573,0,nan
Anim_00574,0,nan
Anim_00575,0,nan
Anim_00576,1,nan
Anim_00577,0,nan
Anim_00578,1,nan
Anim_00579,1,nan
Anim_00580,0,nan
Anim_00581,0,nan
Anim_00582,1,nan
Anim_00583,1,nan
Anim_00584,0,nan
